Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome,ChoiceBlock.order
space,18.0692,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,,,,,,,,,,,,,,,,
,,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,,,,,,,,,,,,,,,,
,,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,,,,,,,,,,,,,,,,
,,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,,,,,,,,,,,,,,,,
,,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,1,3.5413,A_Card,0,100,2100,0,0,0,0,1,100,100,50,50,
,,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,2,3.0452,B_Card,0,100,2200,0,1,1,1,1,100,100,50,50,
,,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,3,2.0514,C_Card,1,-50,2150,0,2,2,2,1,-150,100,-50,50,
,,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,4,0.5279,D_Card,1,50,2200,0,3,3,3,1,100,100,50,50,
,,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,1,0.8222,A_Card,0,-300,1900,0,4,4,4,1,-300,100,-50,50,
,,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,2,0.3533,B_Card,0,100,2000,0,5,5,5,1,100,100,50,50,
,,1,28,1,2023-05-23_21h19.03.028,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.0348202,3,0.3957,,,,,0,6,6,6,1,-200,100,-50,50,39
