Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome
space,1.0564,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,4.8623,B_Card,0,100,2100,0,0,0,0,1,100,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,1.0831,C_Card,1,50,2150,0,1,1,1,1,100,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,0.3718,A_Card,0,-150,2000,0,2,2,2,1,-150,100,-50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,4,0.4011,D_Card,1,50,2050,0,3,3,3,1,100,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.0065,B_Card,0,100,2150,0,4,4,4,1,-300,100,-50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.4184,C_Card,1,50,2200,0,5,5,5,1,100,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,0.4336,A_Card,0,-200,2000,0,6,6,6,1,-200,100,-50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.6324,C_Card,1,50,2050,0,7,7,7,1,100,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.6517,B_Card,0,-1250,800,0,8,8,8,1,-250,-1250,-50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.0221,C_Card,1,-50,750,0,9,9,9,1,-350,100,-50,-250
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,0.8008,A_Card,0,100,850,0,10,10,10,1,100,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,0.0939,A_Card,0,-350,500,0,11,11,11,1,-350,100,-25,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.0032,C_Card,1,-75,425,0,12,12,12,1,100,100,-75,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.7148,C_Card,1,50,475,0,13,13,13,1,-250,-1250,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,31.6032,A_Card,0,-200,275,0,14,14,14,1,-200,100,-25,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,6.622,C_Card,1,50,325,0,15,15,15,1,100,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.3293,B_Card,0,100,425,0,16,16,16,1,-300,100,-25,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.0563,C_Card,1,-75,350,0,17,17,17,1,-150,100,-75,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.0005,C_Card,1,50,400,0,18,18,18,1,100,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.0213,B_Card,0,100,500,0,19,19,19,1,100,100,-50,-250
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.0223,C_Card,1,50,550,0,20,20,20,1,100,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,1,0.2045,A_Card,0,-300,250,0,21,21,21,1,-300,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.1148,B_Card,0,100,350,0,22,22,22,1,100,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.0846,C_Card,1,-50,300,0,23,23,23,1,-350,100,-50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.0007,C_Card,1,-25,275,0,24,24,24,1,100,100,-25,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.0186,B_Card,0,100,375,0,25,25,25,1,-200,100,-50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,3,0.1332,C_Card,1,50,425,0,26,26,26,1,-250,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,0.0685,B_Card,0,100,525,0,27,27,27,1,-150,100,50,50
,,lefterid,25,male,2023-05-08_15h13.21.147,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001,2,5.2242,B_Card,0,100,625,0,28,28,28,1,100,100,-75,-250
